method,score,closed_set_accuracy,unknown_group,auroc,threshold,known_test_acceptance_rate,unknown_rejection_rate,fpr_at_95_tpr
vanilla,msp,0.9503,near,0.816066,0.15008997917175293,0.9466,0.31,0.69
vanilla,mls,0.9503,near,0.7953760625,-5.9023051261901855,0.9503,0.31375,0.68625
vanilla,energy,0.9503,near,0.7950118125000001,-6.1403913497924805,0.9482,0.31125,0.68875
vanilla,mahalanobis,0.9503,near,0.794214,2783.540771484375,0.9438,0.28875,0.71125
vanilla,msp,0.9503,far,0.8951420625,0.15008997917175293,0.9466,0.46375,0.53625
vanilla,mls,0.9503,far,0.887539125,-5.9023051261901855,0.9503,0.54,0.46
vanilla,energy,0.9503,far,0.8879595,-6.1403913497924805,0.9482,0.545,0.455
vanilla,mahalanobis,0.9503,far,0.9173445000000001,2783.540771484375,0.9438,0.535,0.465
vanilla,msp,0.9503,all,0.8556040312500001,0.15008997917175293,0.9466,0.386875,0.613125
vanilla,mls,0.9503,all,0.8414575937500001,-5.9023051261901855,0.9503,0.426875,0.573125
vanilla,energy,0.9503,all,0.84148565625,-6.1403913497924805,0.9482,0.428125,0.571875
vanilla,mahalanobis,0.9503,all,0.8557792500000001,2783.540771484375,0.9438,0.411875,0.588125
gcsc,mls,0.9515,near,0.8132799375,-6.315491676330566,0.943,0.37875,0.62125
gcsc,mls,0.9515,far,0.8988484999999999,-6.315491676330566,0.943,0.58875,0.41125
gcsc,mls,0.9515,all,0.8560642187499999,-6.315491676330566,0.943,0.48375,0.51625
proser,mls,0.947,near,0.7765403125,-3.339048147201538,0.9465,0.3125,0.6875
proser,proser_placeholder,0.947,near,0.75186975,7.255705833435059,0.9487,0.30375,0.69625
proser,mls,0.947,far,0.8713650000000001,-3.339048147201538,0.9465,0.515,0.485
proser,proser_placeholder,0.947,far,0.89588075,7.255705833435059,0.9487,0.5725,0.4275
proser,mls,0.947,all,0.8239526562499999,-3.339048147201538,0.9465,0.41375,0.58625
proser,proser_placeholder,0.947,all,0.8238752500000001,7.255705833435059,0.9487,0.438125,0.561875
